지점,일시,평균기온,최저기온,최고기온,평균 풍속,평균 상대습도,평균 지면온도,입동여부
184,2016-11-18,19.3,15.5,22.6,3,70,16.6,후
184,2016-11-19,17.9,17.3,20.4,3.5,89,17.8,후
184,2016-11-20,16.7,15.2,17.8,2.2,83.8,17,후
184,2016-11-21,17.4,15.9,19.4,2.8,90.3,17,후
184,2016-11-22,11.4,8.3,16.9,4.1,72.6,13.3,후
184,2016-11-23,8.4,7.5,10.6,4.5,57.9,10.1,후
184,2016-11-24,7.5,6.7,8.8,5.3,58.6,8.9,후
184,2016-11-25,9.3,7.4,11.7,2.7,56.5,10.3,후
184,2016-11-26,10.6,7.2,13.7,3.1,76.8,10.5,후
184,2016-11-27,11.6,10.3,12.9,4.2,64.9,11.3,후
184,2016-11-28,10.1,8.6,11.7,4.1,58.6,9.7,후
184,2016-11-29,9.8,8,12,2.6,52.9,8.9,후
184,2016-11-30,13,10.1,16.4,2.8,75.5,11.3,후
184,2015-11-01,13,10.6,15.1,1.5,68.3,13.7,전
184,2015-11-02,14.2,10.6,18.5,2.6,64.8,14.7,전
184,2015-11-03,14.8,12,18.2,2,63.3,15.9,전
184,2015-11-04,17.4,11.8,23.8,2.5,62.4,16.8,전
184,2015-11-05,19,16,21.5,2.7,80.6,18.7,전
184,2015-11-06,19.7,16.8,23.3,3.3,76.5,19.8,전
184,2015-11-07,20.2,18.6,21.4,2.8,90.5,19.1,전
184,2015-11-08,18.8,17.3,21.3,2.8,89.3,18.6,입동
184,2015-11-09,15.9,14.5,17.7,5,77.3,15.3,후
184,2015-11-10,14.2,11.9,16.2,4.1,61.6,13.3,후
184,2015-11-11,15.1,11.5,17.8,1.9,79.9,14.3,후
184,2015-11-12,17.5,15.1,20.6,3,71.5,16.1,후
184,2015-11-13,17.5,16,19.2,2.8,93.9,17.4,후
184,2015-11-14,17.1,16.3,18.4,3.4,83.6,16.6,후
184,2015-11-15,16,13.1,19,1.9,70.6,14.7,후
184,2015-11-16,17.7,12.9,22.1,2.6,72.1,15.3,후
184,2015-11-17,17.5,16.9,18.5,2.5,85.1,17,후
184,2015-11-18,16.2,14.5,17.6,3,92.3,16.5,후
184,2015-11-19,15.2,14.3,16.4,2.1,91.8,15.7,후
184,2015-11-20,15.5,14.2,17.6,1.9,81.6,15.8,후
184,2015-11-21,15.7,13.9,17.8,1.6,74.1,15.9,후
184,2015-11-22,16.9,13.5,19.8,2.5,80.5,15.8,후
184,2015-11-23,16.5,14.5,18.2,3.6,85.3,16.3,후
184,2015-11-24,13.6,11.9,15.1,3.8,71,14,후
184,2015-11-25,10.9,7.1,13.4,5.2,81.5,11.9,후
184,2015-11-26,6,3.1,8.4,7.7,71.8,6.2,후
184,2015-11-27,7.9,4.7,9.5,5.5,58.9,6.5,후
184,2015-11-28,10.5,8.1,14.3,2.1,62.5,9.1,후
184,2015-11-29,12.1,8.1,16.1,2.3,68.9,10.5,후
184,2015-11-30,12.9,9.5,16.7,2.6,65.6,11,후
184,2014-11-01,18.3,17.2,20.2,3.1,82.8,17.7,전
184,2014-11-02,15.6,14.1,17.4,5.6,69.1,14.1,전
184,2014-11-03,14.3,13.6,15.1,5,52.6,12.6,전
184,2014-11-04,13.1,10.5,16.4,1.9,62.8,14.5,전
184,2014-11-05,13.4,9.9,17.2,2.3,64.5,14.4,전
184,2014-11-06,16.1,12.1,18.3,2.8,66.9,16.7,전
184,2014-11-07,15.1,13.2,17,2.9,61.8,16.3,입동
184,2014-11-08,14.1,13.3,14.7,1.2,83.4,14.1,후
184,2014-11-09,14.7,13.9,16,2.9,67.9,13.6,후
184,2014-11-10,13.3,10.6,16.4,2.2,60,13,후
184,2014-11-11,13.1,9.9,15.4,2.6,66.9,12,후
184,2014-11-12,14.3,11.7,16.4,7.1,58.3,12.7,후
184,2014-11-13,9.5,8.8,11.8,5.1,64.8,9.3,후
184,2014-11-14,12.1,9.2,13.4,3.5,53,11.1,후
184,2014-11-15,12.1,9.7,14.8,2.3,58.5,11.6,후
184,2014-11-16,12.6,10.4,14.6,1.3,62.6,13.4,후
184,2014-11-17,13,11.3,14.5,4,62.3,12,후
184,2014-11-18,11.6,10.6,13.5,3.7,55.6,11.3,후
184,2014-11-19,10.6,6.9,13.9,1.9,52.1,10.1,후
184,2014-11-20,11.8,8.5,15.5,1.7,60.4,11.1,후
184,2014-11-21,13.2,8.8,18.1,2.5,66.5,12.4,후
184,2014-11-22,15.3,10.5,19.8,2.6,71,13.5,후
184,2014-11-23,16.5,14.3,19.8,2.5,74.4,15.8,후
184,2014-11-24,17.5,14.3,22.5,2.5,74.1,16.2,후
184,2014-11-25,14.1,13,15.1,3.2,88,14.2,후
184,2014-11-26,13.1,10.2,15.4,2.1,82.9,13.9,후
184,2014-11-27,13.2,9.2,16.9,2.4,77.1,11.7,후
184,2014-11-28,16,12.7,21.8,3.9,77.3,13.8,후
184,2014-11-29,13.8,12,14.9,3.1,69,13.1,후
184,2014-11-30,15.7,13.5,18.5,3.7,82.1,14.7,후
